epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;14.715;217.287;357.267;170.077;0.2647;0.14218;0.07416;0.03466;168.697;260.593;12.772;0.000329897;0.000329897;0.000329897
2;277.497;163.102;223.068;13.285;0.37035;0.34661;0.18947;0.09284;14.728;200.818;12.888;0.000656664;0.000656664;0.000656664
3;405.275;155.236;191.634;131.965;0.34461;0.28729;0.1752;0.05218;172.424;215.063;158.907;0.000976832;0.000976832;0.000976832
4;53.279;152.078;18.362;133.578;0.41147;0.37647;0.25775;0.10813;154.565;194.566;144.765;0.0009703;0.0009703;0.0009703
5;659.203;146.414;17.372;129.996;0.25879;0.4114;0.28858;0.15937;135.524;166.788;129.513;0.0009604;0.0009604;0.0009604
6;785.481;142.833;169.313;128.781;0.44335;0.36992;0.27747;0.13734;152.168;183.414;14.354;0.0009505;0.0009505;0.0009505
7;911.673;140.766;162.533;127.824;0.16534;0.37797;0.21549;0.09338;163.635;171.381;151.695;0.0009406;0.0009406;0.0009406
8;103.721;137.871;159.075;125.682;0.30515;0.436;0.33362;0.16801;136.916;150.825;13.902;0.0009307;0.0009307;0.0009307
9;116.562;137.119;154.583;126.551;0.45715;0.45052;0.32323;0.14738;145.383;150.983;137.813;0.0009208;0.0009208;0.0009208
10;129.102;134.182;14.976;125.808;0.47166;0.4429;0.34657;0.18914;134.044;137.279;134.354;0.0009109;0.0009109;0.0009109
11;141.87;135.481;149.317;126.316;0.51873;0.46243;0.37376;0.22122;13.139;137.533;130.582;0.000901;0.000901;0.000901
12;154.263;131.751;143.636;124.028;0.49663;0.47012;0.36003;0.21146;125.702;132.908;129.845;0.0008911;0.0008911;0.0008911
13;166.972;133.006;144.525;125.902;0.48896;0.45397;0.37046;0.1662;158.649;144.115;153.631;0.0008812;0.0008812;0.0008812
14;179.506;129.981;139.908;123.387;0.51936;0.47253;0.38951;0.19403;141.445;126.321;137.711;0.0008713;0.0008713;0.0008713
15;191.87;129.876;140.383;124.024;0.52633;0.46489;0.37796;0.22939;118.781;134.197;126.225;0.0008614;0.0008614;0.0008614
16;204.222;130.849;138.188;123.989;0.34645;0.46092;0.38799;0.21455;142.442;127.344;141.252;0.0008515;0.0008515;0.0008515
17;216.816;127.461;134.724;122.725;0.52351;0.50846;0.40584;0.24106;124.167;117.518;128.124;0.0008416;0.0008416;0.0008416
18;229.107;129.211;136.345;123.495;0.30325;0.4945;0.36991;0.1639;149.141;132.666;144.362;0.0008317;0.0008317;0.0008317
19;242.233;124.901;130.298;121.003;0.53406;0.47681;0.40525;0.25565;119.156;124.518;125.703;0.0008218;0.0008218;0.0008218
20;254.821;123.924;127.976;12.133;0.25951;0.39538;0.28105;0.11604;15.356;141.495;152.693;0.0008119;0.0008119;0.0008119
21;267.138;125.095;125.958;12.117;0.32429;0.48688;0.38311;0.21356;122.833;118.379;129.738;0.000802;0.000802;0.000802
