fold,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B)
0,0,2.12328,3.21249,1.75489,0.63267,0.15475,0.11735,0.05608
0,1,1.6667,2.15161,1.38753,0.39248,0.31616,0.24464,0.13141
0,2,1.54951,1.85536,1.33802,0.37495,0.29074,0.21374,0.08194
0,3,1.51636,1.81486,1.31262,0.3759,0.31374,0.1978,0.10546
0,4,1.47996,1.75822,1.30455,0.44528,0.30318,0.26311,0.14791
0,5,1.41712,1.64368,1.25353,0.41873,0.32488,0.28986,0.16042
0,6,1.44336,1.63944,1.27908,0.4472,0.36714,0.31361,0.16748
0,7,1.39142,1.57895,1.25174,0.4304,0.39788,0.30697,0.18212
0,8,1.41505,1.56183,1.26391,0.4417,0.3717,0.31788,0.16731
0,9,1.36723,1.50926,1.24105,0.4366,0.42876,0.34055,0.18618
0,10,1.33969,1.47579,1.22518,0.43295,0.43139,0.33284,0.21387
0,11,1.33337,1.47404,1.2283,0.49065,0.4555,0.39409,0.23491
0,12,1.32345,1.4172,1.21787,0.47267,0.44194,0.39365,0.23315
0,13,1.30914,1.39801,1.20974,0.43257,0.47858,0.36032,0.22331
0,14,1.29483,1.33125,1.1995,0.47311,0.49229,0.36898,0.19422
0,15,1.26399,1.33226,1.1858,0.48346,0.48678,0.4096,0.23456
0,16,1.29473,1.34337,1.20849,0.52664,0.44904,0.43184,0.24465
0,17,1.29235,1.33991,1.19628,0.44092,0.46967,0.44069,0.26307
0,18,1.28062,1.29246,1.19607,0.54981,0.41979,0.44898,0.16079
0,19,1.27234,1.29938,1.18993,0.36933,0.49175,0.37152,0.23677
0,20,1.25456,1.27779,1.18334,0.57985,0.44803,0.45617,0.26647
0,21,1.25449,1.27339,1.18644,0.52243,0.46816,0.44218,0.25584
0,22,1.26663,1.27063,1.18897,0.52823,0.44333,0.45118,0.27765
0,23,1.24366,1.24597,1.18514,0.50615,0.46988,0.45631,0.26956
0,24,1.24906,1.27483,1.18669,0.4303,0.52994,0.47071,0.2969
0,25,1.23768,1.24539,1.17063,0.35297,0.53331,0.38188,0.24601
0,26,1.23056,1.20227,1.18012,0.4183,0.538,0.46373,0.30468
0,27,1.22955,1.20533,1.16677,0.42382,0.53168,0.48094,0.29601
0,28,1.24413,1.19274,1.16886,0.51824,0.4797,0.45583,0.282
0,29,1.2093,1.19659,1.16223,0.52802,0.4561,0.46763,0.29526
0,30,1.20715,1.16863,1.16319,0.52612,0.51554,0.50255,0.29126
0,31,1.19824,1.19356,1.15722,0.56487,0.44623,0.46259,0.26689
0,32,1.24218,1.19622,1.18476,0.42644,0.56943,0.49463,0.32779
0,33,1.19132,1.15557,1.14818,0.63616,0.44269,0.50413,0.29682
0,34,1.17192,1.13933,1.14751,0.6073,0.46334,0.51826,0.35142
0,35,1.18787,1.13695,1.15581,0.59797,0.46806,0.49813,0.26988
0,36,1.23641,1.13479,1.17282,0.60368,0.49103,0.51021,0.23856
0,37,1.21094,1.14529,1.16222,0.5756,0.47128,0.48893,0.25894
0,38,1.19282,1.11885,1.15659,0.66172,0.44028,0.51871,0.34577
0,39,1.17342,1.13592,1.1564,0.64175,0.43763,0.50248,0.27307
