epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.867,2.08133,3.22984,1.7758,0.53507,0.09663,0.04081,0.01868,1.71939,2.67044,1.49136,0.000329897,0.000329897,0.000329897
2,27.5322,1.60192,2.05516,1.39009,0.33526,0.3368,0.19834,0.10535,1.51277,2.07273,1.45169,0.000656664,0.000656664,0.000656664
3,36.6825,1.52518,1.82949,1.34656,0.36255,0.37571,0.25911,0.13562,1.42522,1.91963,1.33678,0.000976832,0.000976832,0.000976832
4,45.6738,1.462,1.72091,1.31671,0.32192,0.41506,0.30004,0.16681,1.37636,1.7763,1.32239,0.0009703,0.0009703,0.0009703
5,54.737,1.4303,1.64623,1.29587,0.40519,0.37197,0.28954,0.10679,1.68585,1.81158,1.54267,0.0009604,0.0009604,0.0009604
6,63.5989,1.45085,1.64813,1.3087,0.38013,0.45038,0.29586,0.15662,1.31042,1.62231,1.28786,0.0009505,0.0009505,0.0009505
7,72.4319,1.41173,1.63215,1.28352,0.45513,0.41044,0.29255,0.14281,1.40913,1.64217,1.34398,0.0009406,0.0009406,0.0009406
8,81.3169,1.37211,1.52844,1.25312,0.26755,0.45481,0.33856,0.17942,1.42516,1.54119,1.35771,0.0009307,0.0009307,0.0009307
9,90.1825,1.34092,1.44876,1.25179,0.36108,0.45574,0.28166,0.14271,1.4541,1.55581,1.35606,0.0009208,0.0009208,0.0009208
10,98.9369,1.33331,1.41862,1.25411,0.32305,0.45009,0.29793,0.1574,1.47748,1.83161,1.38008,0.0009109,0.0009109,0.0009109
11,107.75,1.32719,1.42529,1.2475,0.51585,0.46296,0.40465,0.1867,1.63166,1.57232,1.50386,0.000901,0.000901,0.000901
12,116.629,1.34108,1.42358,1.24164,0.44824,0.42414,0.34488,0.15452,1.52451,1.56886,1.40168,0.0008911,0.0008911,0.0008911
13,125.268,1.32913,1.39032,1.24387,0.49515,0.44684,0.3886,0.19792,1.43664,1.36867,1.3622,0.0008812,0.0008812,0.0008812
14,134.265,1.27824,1.33156,1.21642,0.51462,0.48172,0.40788,0.24701,1.22208,1.31221,1.24108,0.0008713,0.0008713,0.0008713
15,143.169,1.27527,1.31767,1.21608,0.39343,0.49301,0.41692,0.2386,1.28192,1.35354,1.27569,0.0008614,0.0008614,0.0008614
16,151.841,1.26996,1.30533,1.21421,0.35917,0.5005,0.41913,0.23411,1.33521,1.44911,1.30211,0.0008515,0.0008515,0.0008515
17,160.554,1.27181,1.27118,1.20656,0.40959,0.47883,0.44764,0.26729,1.21366,1.35893,1.24834,0.0008416,0.0008416,0.0008416
18,169.275,1.27004,1.28667,1.21681,0.38328,0.50148,0.45073,0.26696,1.26586,1.38992,1.29264,0.0008317,0.0008317,0.0008317
19,178.131,1.23175,1.23609,1.20005,0.34845,0.44161,0.39851,0.15228,1.78706,1.58274,1.68602,0.0008218,0.0008218,0.0008218
20,186.908,1.2436,1.22232,1.20494,0.40517,0.49901,0.44863,0.27088,1.29312,1.24902,1.29897,0.0008119,0.0008119,0.0008119
